id,chapter,area,reminder,dist_km,age,attend
1,1,urban,0,0.6,38,1
2,1,urban,0,4.3,30,0
3,1,urban,1,4.4,18,1
4,1,urban,1,3.6,33,1
5,1,urban,0,1.9,39,1
6,1,urban,1,2.3,27,0
7,1,urban,1,2.2,35,0
8,1,urban,0,0.9,38,0
9,1,urban,1,3.9,21,0
10,1,urban,0,4.1,40,1
11,1,urban,1,4.4,34,0
12,1,urban,0,3.2,27,1
13,1,urban,0,4.4,33,0
14,1,urban,1,2.5,36,0
15,1,urban,1,2.4,30,1
16,1,urban,0,1.2,35,0
17,1,urban,0,3.6,29,1
18,1,urban,1,3.2,21,0
19,1,urban,1,2.6,30,1
20,1,urban,0,3.4,33,1
21,1,urban,1,3.3,37,1
22,1,urban,0,2.1,23,1
23,1,urban,1,1.4,18,0
24,1,urban,1,2.7,35,1
25,1,urban,1,2.6,36,1
26,1,urban,0,4.1,39,1
27,1,urban,0,4.3,18,1
28,1,urban,0,3.9,34,0
29,1,urban,0,2.6,35,1
30,1,urban,1,4.3,33,0
31,2,urban,1,0.8,18,1
32,2,urban,0,3.5,26,1
33,2,urban,1,0.9,37,1
34,2,urban,0,1.7,23,1
35,2,urban,0,2.6,23,0
36,2,urban,1,3.1,27,1
37,2,urban,0,1.8,33,1
38,2,urban,1,1.7,28,1
39,2,urban,0,1.3,21,1
40,2,urban,1,3.4,24,0
41,2,urban,1,2.2,18,1
42,2,urban,1,2.1,19,0
43,2,urban,0,1.1,40,1
44,2,urban,1,2.2,25,0
45,2,urban,1,3.0,40,1
46,2,urban,0,1.4,38,1
47,2,urban,1,3.2,28,0
48,2,urban,1,2.2,27,1
49,2,urban,0,1.3,19,1
50,2,urban,0,3.9,27,0
51,2,urban,1,1.7,23,1
52,2,urban,0,1.5,18,0
53,2,urban,0,3.9,36,0
54,2,urban,1,4.3,36,1
55,2,urban,0,3.8,40,0
56,2,urban,1,0.6,24,1
57,2,urban,0,1.3,39,0
58,2,urban,1,2.9,33,1
59,2,urban,0,3.2,27,1
60,2,urban,0,0.6,37,0
61,3,urban,0,4.1,24,1
62,3,urban,1,1.8,34,0
63,3,urban,0,2.0,28,1
64,3,urban,0,1.4,37,0
65,3,urban,0,3.4,33,1
66,3,urban,0,2.7,21,1
67,3,urban,0,2.1,30,0
68,3,urban,1,3.7,22,1
69,3,urban,0,3.0,30,1
70,3,urban,0,2.7,36,1
71,3,urban,1,1.6,27,1
72,3,urban,0,4.2,32,0
73,3,urban,0,0.9,19,0
74,3,urban,0,0.5,39,1
75,3,urban,1,2.2,19,1
76,3,urban,1,3.6,36,1
77,3,urban,1,1.0,23,0
78,3,urban,1,1.1,21,1
79,3,urban,1,4.4,35,0
80,3,urban,0,1.7,26,0
81,3,urban,1,1.8,24,0
82,3,urban,0,0.7,18,0
83,3,urban,1,4.2,37,1
84,3,urban,0,2.1,30,1
85,3,urban,1,4.2,37,0
86,3,urban,1,0.9,24,0
87,3,urban,1,3.6,35,0
88,3,urban,1,2.4,29,1
89,3,urban,1,2.7,27,1
90,3,urban,0,1.9,26,1
91,4,urban,0,2.7,20,0
92,4,urban,1,0.6,18,1
93,4,urban,1,3.7,33,1
94,4,urban,0,3.9,21,1
95,4,urban,1,3.7,20,1
96,4,urban,1,3.2,23,0
97,4,urban,1,4.4,28,1
98,4,urban,0,3.3,37,1
99,4,urban,0,4.1,22,1
100,4,urban,0,3.4,28,0
101,4,urban,0,3.0,39,0
102,4,urban,1,3.9,40,1
103,4,urban,0,1.7,35,1
104,4,urban,0,3.4,39,1
105,4,urban,1,3.6,39,0
106,4,urban,0,3.7,35,1
107,4,urban,0,2.3,35,1
108,4,urban,1,2.1,28,1
109,4,urban,0,2.4,38,0
110,4,urban,1,4.4,18,1
111,4,urban,1,1.9,22,1
112,4,urban,1,1.1,26,1
113,4,urban,1,2.1,37,1
114,4,urban,1,2.4,23,1
115,4,urban,0,2.5,38,0
116,4,urban,0,4.2,38,0
117,4,urban,0,1.5,33,0
118,4,urban,1,4.3,40,1
119,4,urban,1,2.7,38,1
120,4,urban,0,3.1,19,0
121,5,urban,0,3.4,29,1
122,5,urban,1,3.9,35,0
123,5,urban,1,0.7,20,0
124,5,urban,1,3.0,26,0
125,5,urban,0,0.8,22,0
126,5,urban,1,3.0,39,0
127,5,urban,1,0.8,25,0
128,5,urban,0,2.0,31,1
129,5,urban,0,4.1,32,1
130,5,urban,0,4.1,24,1
131,5,urban,1,2.9,31,0
132,5,urban,1,3.1,26,1
133,5,urban,0,3.5,18,0
134,5,urban,1,2.6,36,1
135,5,urban,1,3.0,37,1
136,5,urban,1,1.5,23,1
137,5,urban,1,2.7,26,1
138,5,urban,0,3.5,39,1
139,5,urban,0,3.9,23,1
140,5,urban,0,2.5,21,0
141,5,urban,0,2.8,30,1
142,5,urban,0,3.7,18,1
143,5,urban,1,3.5,35,1
144,5,urban,1,3.2,38,1
145,5,urban,0,2.5,36,0
146,5,urban,1,2.2,39,1
147,5,urban,1,2.6,18,1
148,5,urban,0,3.4,29,1
149,5,urban,0,2.1,39,0
150,5,urban,0,1.0,30,1
151,6,urban,0,3.9,36,0
152,6,urban,1,3.3,20,1
153,6,urban,1,3.5,38,0
154,6,urban,0,1.7,18,1
155,6,urban,1,3.0,38,0
156,6,urban,1,2.1,26,0
157,6,urban,0,3.6,37,1
158,6,urban,0,4.2,40,1
159,6,urban,1,3.2,27,1
160,6,urban,0,3.8,33,1
161,6,urban,1,2.5,26,1
162,6,urban,0,3.5,31,1
163,6,urban,1,0.8,32,1
164,6,urban,0,2.5,23,0
165,6,urban,1,2.1,40,1
